author_first,city_code1,ym1,coauthor1,class_num1,mag_classn1,city_code2,ym2,coauthor2,class_num2,mag_classn2,move_time,class_overlap,mag_overlap,coauthor_overlap
彭江波,1100.0,2002-12-01;,,F;,经济与管理;,5101.0,2010-09-01;, 郭琪;,X;,经济与管理;,1,0,1,0
徐枫,4401.0,2004-09-01;,,F;,经济与管理;,1100.0,2016-04-01;2014-12-01;,,F;F;F;,经济与管理;经济与管理;,1,1,1,0
徐琰超,1100.0,2010-04-01;, 沈拓彬; 尹恒;,F;F;F;,经济与管理;,5301.0,2016-08-01;2014-04-01;, 柳荻; 杨龙见; 杨龙见;,F;F;F;,经济与管理;经济与管理;,1,1,1,0
戈建国,1100.0,2011-10-01;, 周继忠;,F;F;,经济与管理;,3100.0,2007-11-01;,,F;,经济与管理;,1,1,1,0
戴翔,3403.0,2014-07-01;2013-07-01;2013-04-01;2011-06-01;, 金碚; 张雨;,F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,3201.0,2016-09-01;2016-12-01;2016-09-01;, 郑岚; 张为付; 刘梦; 任志成;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
方红生,3100.0,2002-08-01;,,F;,经济与管理;,3301.0,2013-03-01;, 张军;,F;,经济与管理;,1,1,1,0
易先忠,3201.0,2017-07-01;, 包群; 高凌云; 张亚斌;,F;F;,经济与管理;,4301.0,2014-06-01;, 欧阳峣; 傅晓岚;,F;,经济与管理;,1,1,1,0
曲振涛,2301.0,2005-09-01;,,F;,经济与管理;,1100.0,2002-07-01;, 刘文革;,F;,经济与管理;,1,1,1,0
曹春方,5101.0,2015-09-01;2014-07-01;, 周大伟; 吴澄澄; 张婷婷; 马连福; 沈小秀;,F;F;D;F;F;,经济与管理;经济与管理;,4401.0,2017-12-01;, 张婷婷; 范子英;,F;,经济与管理;,1,1,1,1
曹艳华,3702.0,2009-01-01;, 牛筱颖;,F;F;,经济与管理;,6101.0,2009-05-01;2007-02-01;, 张芳洁;,F;F;F;,经济与管理;经济与管理;,2,1,1,0
曹阳,5101.0,2015-12-01;,,F;,经济与管理;,3100.0,2005-10-01;, 王波;,F;,经济与管理;,1,1,1,0
曹静,1200.0,2003-08-01;,,F;,经济与管理;,1100.0,2014-04-01;, 王鑫; 钟笑寒;,X;D;,经济与管理;,1,0,1,0
曾建光,1100.0,2013-07-01;, 伍利娜; 王立彦;,D;F;F;,经济与管理;,5101.0,2016-04-01;2015-07-01;, 张英; 杨勋;,B;F;F;F;,经济与管理;经济与管理;,1,1,1,0
曾海舰,4501.0,2015-10-01;, 林灵;,F;F;F;,经济与管理;,4401.0,2010-04-01;,,F;F;,经济与管理;,1,1,1,0
朱文晖,1100.0,2003-12-01;,,F;,经济与管理;,3100.0,2002-12-01;, 汪前明;,F;,经济与管理;,1,1,1,0
权小锋,3502.0,2010-11-01;, 吴世农; 文芳;,F;F;,经济与管理;,3205.0,2017-01-01;2016-01-01;2015-11-01;, 尹洪英; 肖斌卿; 吴世农; 吴世农; 尹洪英;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,1
李世刚,4301.0,2016-11-01;, 李晓萍;,nan;,经济与管理;,4401.0,2017-04-01;, 尹恒;,C;F;,经济与管理;,1,0,1,0
李世刚,4301.0,2016-11-01;, 李晓萍;,nan;,经济与管理;,1100.0,2014-07-01;, 尹恒;,F;C;,经济与管理;,1,0,1,0
李世刚,4401.0,2017-04-01;, 尹恒;,C;F;,经济与管理;,1100.0,2014-07-01;, 尹恒;,F;C;,经济与管理;,1,2,1,1
李任玉,5101.0,2014-10-01;, 杜在超; 何勤英; 龚强;,F;,经济与管理;,4403.0,2017-09-01;, 陈悉榕; 甘犁;,F;,经济与管理;,1,1,1,0
李佳,1100.0,2013-05-01;2012-10-01;,,F;F;,经济与管理;经济与管理;,3301.0,2016-09-01;,,F;F;F;,经济与管理;,1,1,1,0
李健,4201.0,2015-10-01;, 卫平;,F;F;,经济与管理;,1100.0,2012-12-01;2017-04-01;, 范祚军; 谢巧燕; 林文浩;,F;F;F;,经济与管理;经济与管理;,2,1,1,0
李君华,4301.0,2011-04-01;, 彭玉兰;,F;,经济与管理;,4201.0,2016-10-01;2009-04-01;, 欧阳峣;;,F;F;F;,经济与管理;经济与管理;,2,1,1,0
李四海,4401.0,2013-04-01;, 刘星河; 吴伟炯;,F;F;,经济与管理;,4201.0,2016-05-01;2014-08-01;, 陈旋; 宋献中; 宋献中; 罗俊伟;,F;F;C;F;F;,经济与管理;经济与管理;,1,1,1,0
李宏瑾,2201.0,2001-02-01;, 项卫星;,F;,经济与管理;,1100.0,2016-01-01;2014-10-01;2012-04-01;, 苏乃芳; 洪浩;;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
李宾,4303.0,2012-10-01;,,F;,经济与管理;,1100.0,2008-10-01;, 金一; 曾志雄;,F;F;,经济与管理;,1,1,1,0
李小平,3201.0,2006-02-01;, 朱钟棣;,F;,经济与管理;,4201.0,2015-08-01;2010-01-01;2008-01-01;, 周记顺; 卢现祥; 胡久凯; 卢现祥; 卢现祥; 朱钟棣;,F;X;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,1
李尚骜,1100.0,2012-07-01;, 龚六堂;,F;F;,经济与管理;,4201.0,2011-06-01;2010-05-01;, 陈继勇; 李卓;;,F;F;,经济与管理;经济与管理;,1,1,1,0
李平,3703.0,2011-04-01;2014-12-01;2013-06-01;2010-06-01;2006-12-01;, 许家云; 季永宝; 宫旭红; 齐丹丹; 张庆昌; 随洪光;,F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1100.0,2017-12-01;, 付一夫; 张艳芳;,F;F;,经济与管理;,1,1,1,0
李平,3703.0,2011-04-01;2014-12-01;2013-06-01;2010-06-01;2006-12-01;, 许家云; 季永宝; 宫旭红; 齐丹丹; 张庆昌; 随洪光;,F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1200.0,2001-12-01;, 刘志勇;,F;,经济与管理;,1,1,1,0
李平,1100.0,2017-12-01;, 付一夫; 张艳芳;,F;F;,经济与管理;,1200.0,2001-12-01;, 刘志勇;,F;,经济与管理;,1,1,1,0
李庆海,1100.0,2011-10-01;, 李锐; 王兆华;,F;F;,经济与管理;,3201.0,2017-10-01;, 吕小锋; 李锐; 孙光林;,F;F;F;,经济与管理;,1,1,1,1
李建军,5101.0,2012-04-01;, 肖育才;,F;,经济与管理;,1100.0,2001-11-01;2004-01-01;2004-05-01;2004-09-01;, 田光宁;;,F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,1,0
李强,1200.0,2003-06-01;,,F;,经济与管理;,5101.0,2010-10-01;, 臧文斌;,D;,经济与管理;,1,0,1,0
李成,1100.0,2016-12-01;,,F;F;,经济与管理;,6101.0,2011-10-01;2010-03-01;2014-02-01;2013-04-01;2009-02-01;2009-10-01;2007-07-01;2006-09-01;2005-01-01;2004-06-01;2010-10-01;2009-12-01;, 马文涛; 王彬; 王彬; 马文涛; 郑怡; 白璐; 王建军; 尚振宁; 黎克俊; 王焱; 姜柳; 马文涛; 王彬; 马文涛; 王彬;,F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1,1,0
李文星,4201.0,2008-07-01;, 徐长生; 艾春荣;,F;C;,经济与管理;,5101.0,2002-04-01;, 蒋瑛;,F;,经济与管理;,1,1,1,0
李斌,3502.0,2006-06-01;, 江伟;,F;F;,经济与管理;,1100.0,2004-06-01;2001-07-01;,;;,F;F;,经济与管理;经济与管理;,1,1,1,0
李新,3100.0,2001-04-01;,,F;,经济与管理;,1100.0,2001-03-01;,,F;,经济与管理;,1,1,1,0
李杰,3301.0,2011-05-01;, 李捷瑜; 黄先海;,F;F;,经济与管理;,4403.0,2009-06-01;,,F;,经济与管理;,1,1,1,0
李楠,3100.0,2016-07-01;2015-02-01;2015-07-01;, 林友宏; 甄茂生; 林矗;,D;F;C;C;,经济与管理;经济与管理;经济与管理;,1100.0,2013-01-01;2013-10-01;2014-11-01;, 王家强; 陈暮紫; 陈敏; 黄旭; 谢尔曼;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
李永友,3301.0,2017-01-01;2016-07-01;2014-04-01;, 张子楠; 郑春荣;,D;F;R;F;F;,经济与管理;经济与管理;经济与管理;,3201.0,2008-05-01;, 沈坤荣;,F;F;F;,经济与管理;,1,1,1,0
李涛,1100.0,2017-03-01;2014-03-01;2015-06-01;2011-09-01;2010-07-01;2009-02-01;2008-01-01;2007-08-01;, 朱俊兵; 伏霖; 陈斌开; 张文韬; 史宇鹏; 陈斌开; 王志芳; 王海港; 谭松涛; 郭杰; 黄纯纯; 何兴强; 周开国;,C;F;F;B;F;F;F;F;F;F;D;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,5000.0,2013-01-01;,,F;F;X;,经济与管理;,2,1,1,0
李涛,1100.0,2017-03-01;2014-03-01;2015-06-01;2011-09-01;2010-07-01;2009-02-01;2008-01-01;2007-08-01;, 朱俊兵; 伏霖; 陈斌开; 张文韬; 史宇鹏; 陈斌开; 王志芳; 王海港; 谭松涛; 郭杰; 黄纯纯; 何兴强; 周开国;,C;F;F;B;F;F;F;F;F;F;D;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,4401.0,2006-01-01;2006-08-01;2005-07-01;2004-11-01;2003-12-01;2004-10-01;, 李红;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1,1,0
李涛,5000.0,2013-01-01;,,F;F;X;,经济与管理;,4401.0,2006-01-01;2006-08-01;2005-07-01;2004-11-01;2003-12-01;2004-10-01;, 李红;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1,1,0
李猛,1100.0,2015-04-01;,,F;,经济与管理;,3100.0,2010-12-01;, 沈坤荣;,F;,经济与管理;,1,1,1,0
李虹,1100.0,2017-07-01;2011-02-01;2004-11-01;, 熊振兴; 董亮; 谢明华;,F;X;F;F;,经济与管理;经济与管理;经济与管理;,3100.0,2007-09-01;,,D;,经济与管理;,2,0,1,0
李超,1100.0,2015-05-01;, 倪鹏飞; 万海远;,F;C;,经济与管理;,5101.0,2017-08-01;, 李涵;,F;F;X;,经济与管理;,1,1,1,0
李超,1100.0,2015-05-01;, 倪鹏飞; 万海远;,F;C;,经济与管理;,4401.0,2011-08-01;, 覃成林;,F;F;,经济与管理;,1,1,1,0
李超,5101.0,2017-08-01;, 李涵;,F;F;X;,经济与管理;,4401.0,2011-08-01;, 覃成林;,F;F;,经济与管理;,1,1,1,0
李雪莲,1200.0,2003-10-01;2001-06-01;, 张运鹏; 安辉;,F;F;,经济与管理;经济与管理;,5101.0,2015-05-01;, 马双; 邓翔;,D;D;F;,经济与管理;,1,1,1,0
李静,3401.0,2017-03-01;, 楠玉; 刘霞辉;,F;F;,经济与管理;,1401.0,2017-06-01;,,F;F;G;,经济与管理;,1,1,1,0
李静,3401.0,2017-03-01;, 楠玉; 刘霞辉;,F;F;,经济与管理;,1200.0,2005-04-01;,,F;,经济与管理;,1,1,1,0
李静,1401.0,2017-06-01;,,F;F;G;,经济与管理;,1200.0,2005-04-01;,,F;,经济与管理;,1,1,1,0
杨俊,1200.0,2015-09-01;, 张玉利; 刘依冉;,F;,经济与管理;,1100.0,2006-03-01;2008-06-01;, 龚六堂; 王亚平; 龚六堂;,F;F;F;,经济与管理;经济与管理;,1,1,1,0
杨光,3100.0,2017-12-01;, 汪立;,F;,经济与管理;,1200.0,2015-02-01;2015-10-01;2008-06-01;, 孙浦阳; 龚刚; 孙浦阳;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
杨剑侠,3100.0,2009-07-01;, 陈宏民; 包兴;,F;F;,经济与管理;,5000.0,2004-07-01;, 司有和; 孙兴征;,F;,经济与管理;,1,1,1,0
杨勇,3201.0,2003-11-01;, 魏浩;,F;,经济与管理;,4201.0,2017-09-01;,,F;,经济与管理;,1,1,1,0
杨华磊,1100.0,2014-04-01;, 何凌云; 周晓波;,F;,经济与管理;,6201.0,2012-12-01;, 周晓波;,F;F;F;,经济与管理;,1,1,1,1
杨文,1100.0,2012-04-01;, 孙蚌珠; 王学龙;,F;F;,经济与管理;,4403.0,2015-01-01;, 孙蚌珠; 程相宾;,F;,经济与管理;,1,1,1,1
杨柳,1100.0,2015-08-01;2001-02-01;,;;,F;F;,经济与管理;经济与管理;,4201.0,2016-10-01;, 李力; 吴婷;,F;,经济与管理;,1,1,1,0
杨汝岱,1100.0,2016-03-01;2015-02-01;2013-07-01;, 李艳; 朱诗娥;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,4303.0,2011-11-01;2009-08-01;2008-08-01;2007-12-01;, 陈斌开; 朱诗娥; 陈斌开; 姚洋; 朱诗娥;,F;F;G;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,1,1
林伯强,3501.0,2014-04-01;2013-09-01;2012-11-01;, 李江龙; 杜克锐; 李爱军;,F;F;F;F;X;,经济与管理;经济与管理;经济与管理;,3502.0,2015-09-01;2017-09-01;2016-10-01;2012-03-01;2010-08-01;2009-06-01;2009-12-01;2008-11-01;2008-05-01;2007-02-01;, 刘泓汛; 孙传旺; 姚昕; 刘畅; 刘希颖; 姚昕; 王锋; 牟敦国; 何晓萍; 魏巍贤; 李丕东;,F;F;F;F;X;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,2,1,0
林煜恩,3303.0,2014-12-01;, 陈秀玲; 池祥萱;,F;,经济与管理;,3507.0,2014-02-01;2014-03-01;, 池祥萱; 池祥萱; 李乐;,F;F;F;,经济与管理;经济与管理;,1,1,1,1
林煜恩,3303.0,2014-12-01;, 陈秀玲; 池祥萱;,F;,经济与管理;,2201.0,2017-08-01;2015-08-01;2016-07-01;, 尚铎; 陈宜群; 池祥萱; 郑玉敏; 邵文霞; 池祥萱; 王柘君;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,1
林煜恩,3507.0,2014-02-01;2014-03-01;, 池祥萱; 池祥萱; 李乐;,F;F;F;,经济与管理;经济与管理;,2201.0,2017-08-01;2015-08-01;2016-07-01;, 尚铎; 陈宜群; 池祥萱; 郑玉敏; 邵文霞; 池祥萱; 王柘君;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,1
桂荷发,3601.0,2011-11-01;, 蔡明超; 石劲; 汪勇祥;,F;F;,经济与管理;,1100.0,2002-06-01;,,F;,经济与管理;,1,1,1,0
梁平汉,5101.0,2012-10-01;,,C;F;,经济与管理;,4401.0,2017-04-01;, 高楠;,D;,经济与管理;,1,0,1,0
梁正,1200.0,2001-02-01;,,F;,经济与管理;,1100.0,2003-10-01;,,F;,经济与管理;,1,1,1,0
梁琦,3201.0,2005-07-01;2004-07-01;2002-10-01;2003-06-01;, 施晓苏; 张二震;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,4401.0,2012-04-01;2012-04-01;2008-07-01;, 丁树; 王如玉; 黄卓; 吴俊;,F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
楼国强,3100.0,2010-12-01;2013-12-01;2011-08-01;,,F;C;F;F;F;,经济与管理;经济与管理;经济与管理;,1100.0,2005-08-01;,,F;,经济与管理;,1,1,1,0
樊丽明,3100.0,2014-08-01;, 解垩;,F;F;,经济与管理;,3701.0,2002-04-01;,,F;,经济与管理;,1,1,1,0
欧阳志刚,4201.0,2017-02-01;2013-07-01;2015-06-01;, 薛龙; 潜力;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,3601.0,2012-09-01;2011-07-01;2010-07-01;2009-09-01;, 高凌云; 史焕平; 史焕平; 王世杰;,F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,1,0
毛捷,1100.0,2015-07-01;2015-07-01;2011-12-01;2012-07-01;, 吕冰洋; 马光荣; 管汉晖; 林智贤; 汪德华; 白重恩; 汪德华; 白重恩;,F;D;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,3301.0,2005-04-01;, 金雪军; 袁佳;,F;F;,经济与管理;,1,1,1,0
江求川,4101.0,2015-07-01;,,D;F;,经济与管理;,4201.0,2013-04-01;, 张克中;,F;F;,经济与管理;,1,1,1,0
汤二子,3201.0,2017-02-01;,,F;,经济与管理;,2102.0,2011-06-01;, 李影; 张海英;,F;F;F;,经济与管理;,1,1,1,0
汤向俊,3211.0,2015-10-01;, 刘瑞明; 马光辉;,D;F;,经济与管理;,6101.0,2010-10-01;, 任保平;,F;F;,经济与管理;,1,1,1,0
汤玉刚,3100.0,2007-01-01;, 赵大平;,F;,经济与管理;,3701.0,2010-09-01;2015-10-01;2010-10-01;, 关凤利; 陈强; 满利苹; 苑程浩;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
汪伟,3301.0,2006-03-01;, 金祥荣; 汪淼军;,F;,经济与管理;,3100.0,2015-06-01;2013-11-01;2010-10-01;2016-10-01;2009-10-01;2008-04-01;, 艾春荣; 郭新强; 艾春荣;,F;C;F;F;F;C;F;C;F;F;C;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1,1,0
汪洋,1100.0,2016-04-01;,,F;F;,经济与管理;,3601.0,2010-11-01;2007-04-01;2005-04-01;,,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
沈利生,3505.0,2006-03-01;, 王恒;,F;,经济与管理;,1100.0,2003-11-01;, 吴振宇;,F;,经济与管理;,1,1,1,0
沈国兵,3100.0,2015-04-01;2015-06-01;2010-06-01;2004-12-01;2005-06-01;, 张鑫; 姚白羽;;,F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,3301.0,2002-06-01;,,F;,经济与管理;,1,1,1,0
沈悦,1100.0,2004-06-01;, 刘洪玉;,F;,经济与管理;,5101.0,2012-05-01;, 储巍;,F;F;F;,经济与管理;,1,1,1,0
沈悦,1100.0,2004-06-01;, 刘洪玉;,F;,经济与管理;,6101.0,2013-03-01;2007-10-01;, 谢坤锋; 谢勇; 田嫄;,F;F;F;F;,经济与管理;经济与管理;,1,1,1,0
沈悦,5101.0,2012-05-01;, 储巍;,F;F;F;,经济与管理;,6101.0,2013-03-01;2007-10-01;, 谢坤锋; 谢勇; 田嫄;,F;F;F;F;,经济与管理;经济与管理;,2,1,1,0
沈沛龙,1100.0,2002-06-01;2001-02-01;, 任若恩; 任若恩;,F;F;,经济与管理;经济与管理;,1401.0,2012-02-01;2013-08-01;, 樊欢; 王晓婷;,F;F;F;,经济与管理;经济与管理;,1,1,1,0
潘珊,1100.0,2015-09-01;, 龚六堂;,F;,经济与管理;,4401.0,2016-10-01;, 龚六堂; 李尚骜;,F;F;,经济与管理;,1,1,1,1
燕志雄,4401.0,2016-09-01;, 张敬卫; 费方域;,F;F;,经济与管理;,3100.0,2007-02-01;2007-10-01;, 费方域; 费方域;,F;F;F;,经济与管理;经济与管理;,1,1,1,1
王伟光,1100.0,2016-03-01;2010-12-01;, 陈锡文; 李扬; 刘世锦; 刘诗白; 刘伟; 蔡昉; 白钦先; 李稻葵;,F;F;,经济与管理;经济与管理;,2101.0,2015-06-01;, 冯荣凯; 尹博;,F;,经济与管理;,2,1,1,0
王俊,1100.0,2012-01-01;2008-07-01;2007-12-01;2007-04-01;, 龚强; 王威; 昌忠泽; 刘宏; 昌忠泽; 昌忠泽;,D;F;R;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,3403.0,2010-09-01;, 王刚贞;,F;F;,经济与管理;,2,1,1,0
王倩,1200.0,2012-05-01;, 李颖华;,F;,经济与管理;,3701.0,2016-05-01;, 马云霄;,F;F;,经济与管理;,1,1,1,0
王兰芳,1200.0,2001-06-01;,,F;,经济与管理;,3100.0,2010-10-01;, 王苏生;,F;F;,经济与管理;,1,1,1,0
王勇,1100.0,2003-02-01;2002-04-01;,,F;G;,经济与管理;经济与管理;,3302.0,2005-01-01;2003-12-01;, 袁葵芳;,F;F;,经济与管理;经济与管理;,1,1,1,0
王博,1200.0,2013-05-01;2013-03-01;2012-06-01;, 郭廓; 马君潞; 刘永余; 刘澜飚;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,5101.0,2017-04-01;, 张晓玫; 卢露;,F;F;,经济与管理;,1,1,1,0
王向楠,1100.0,2012-08-01;, 徐舒;,F;F;,经济与管理;,5101.0,2011-10-01;,,F;F;,经济与管理;,1,1,1,0
王国静,3100.0,2014-03-01;, 田国强;,F;F;,经济与管理;,3506.0,2014-09-01;, 田国强;,F;F;,经济与管理;,1,1,1,1
王宇,1100.0,2015-04-01;, 李宏瑾;,F;F;,经济与管理;,1501.0,2014-10-01;, 郭新强; 干春晖;,F;F;,经济与管理;,1,1,1,0
王小龙,1100.0,2004-04-01;2015-11-01;2011-08-01;,; 方金金; 兰永生;,F;F;F;D;F;,经济与管理;经济与管理;经济与管理;,6101.0,2002-01-01;2002-04-01;, 李斌;,F;F;F;,经济与管理;经济与管理;,1,1,1,0
王平,1100.0,2012-05-01;, 肖军;,F;F;,经济与管理;,5101.0,2009-06-01;, 邹易; 唐柳;,F;,经济与管理;,1,1,1,0
王弟海,1100.0,2006-04-01;, 龚六堂;,F;F;,经济与管理;,3100.0,2016-08-01;2012-06-01;2008-01-01;, 黄亮; 李宏毅; 龚六堂;,R;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,1
王晓,1100.0,2010-01-01;, 李佳;,F;,经济与管理;,3701.0,2012-04-01;,,F;,经济与管理;,1,1,1,0
王欢,3701.0,2014-08-01;, 郭建强;,F;F;,经济与管理;,6101.0,2017-04-01;, 史耀疆; 王爱琴; 罗朴尚; 罗思高; 诸彦杰;,G;G;,经济与管理;,1,0,1,0
王永进,1200.0,2016-07-01;2014-04-01;2012-07-01;, 张国峰; 施炳展; 盛丹;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,3502.0,2010-07-01;, 盛丹; 施炳展; 李坤望;,F;F;,经济与管理;,1,1,1,2
王海港,4401.0,2007-08-01;, 李实; 刘京军;,G;,经济与管理;,1100.0,2005-01-01;2009-09-01;,; 黄少安; 李琴; 罗凤金;,F;F;F;,经济与管理;经济与管理;,2,0,1,0
王爱俭,3209.0,2014-04-01;2017-10-01;, 王璟怡; 杜强;,F;F;F;F;,经济与管理;经济与管理;,1200.0,2007-10-01;2007-02-01;, 林楠; 温博慧;,F;F;F;F;,经济与管理;经济与管理;,1,1,1,0
王玲玲,5301.0,2015-02-01;, 尹晓冰;,F;F;,经济与管理;,4201.0,2012-06-01;, 王宗军; 毛磊;,F;F;,经济与管理;,1,1,1,0
王珏,2102.0,2012-01-01;,,F;F;,经济与管理;,1100.0,2004-02-01;, 饶晓鹏;,F;,经济与管理;,1,1,1,0
王璐,3201.0,2014-11-01;, 童中文;,F;F;,经济与管理;,1200.0,2008-06-01;, 柳欣;,F;,经济与管理;,1,1,1,0
王璐,3201.0,2014-11-01;, 童中文;,F;F;,经济与管理;,5101.0,2008-04-01;, 庞皓;,F;F;,经济与管理;,1,1,1,0
王璐,1200.0,2008-06-01;, 柳欣;,F;,经济与管理;,5101.0,2008-04-01;, 庞皓;,F;F;,经济与管理;,1,1,1,0
王艳,1200.0,2002-06-01;,,F;,经济与管理;,4401.0,2017-12-01;, 李善民;,F;,经济与管理;,1,1,1,0
王苍峰,3100.0,2007-08-01;,,F;,经济与管理;,3701.0,2011-12-01;, 司传宁;,F;F;F;,经济与管理;,1,1,1,0
王锋,3203.0,2017-09-01;, 李紧想; 张芳; 吴艳杰;,F;F;,经济与管理;,3502.0,2010-02-01;, 吴丽华; 杨超;,X;,经济与管理;,1,0,1,0
王锋,3203.0,2017-09-01;, 李紧想; 张芳; 吴艳杰;,F;F;,经济与管理;,6101.0,2013-08-01;, 冯根福; 吴丽华;,X;F;,经济与管理;,1,1,1,0
王锋,3502.0,2010-02-01;, 吴丽华; 杨超;,X;,经济与管理;,6101.0,2013-08-01;, 冯根福; 吴丽华;,X;F;,经济与管理;,1,1,1,1
王静,1200.0,2016-04-01;, 张卓; 武舜臣;,F;,经济与管理;,4102.0,2017-02-01;, 庄鹏睿; 罗良清;,F;,经济与管理;,1,1,1,0
王静,1200.0,2016-04-01;, 张卓; 武舜臣;,F;,经济与管理;,3301.0,2002-11-01;,,F;,经济与管理;,1,1,1,0
王静,4102.0,2017-02-01;, 庄鹏睿; 罗良清;,F;,经济与管理;,3301.0,2002-11-01;,,F;,经济与管理;,1,1,1,0
王鹏,1401.0,2002-08-01;,,F;,经济与管理;,1100.0,2012-12-01;2008-02-01;,;;,F;F;,经济与管理;经济与管理;,1,1,1,0
王鹏,1401.0,2002-08-01;,,F;,经济与管理;,5101.0,2014-12-01;, 付延平; 李文贺;,F;,经济与管理;,1,1,1,0
王鹏,1100.0,2012-12-01;2008-02-01;,;;,F;F;,经济与管理;经济与管理;,5101.0,2014-12-01;, 付延平; 李文贺;,F;,经济与管理;,1,1,1,0
田利辉,1200.0,2017-11-01;2014-01-01;2013-04-01;2013-11-01;2015-04-01;2014-04-01;, 王可第; 张伟; 谭德凯; 王冠英;,F;F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1100.0,2005-10-01;2005-10-01;2004-10-01;,,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,1,0
田青,2102.0,2009-10-01;, 高铁梅;,F;F;,经济与管理;,1100.0,2017-01-01;,,F;,经济与管理;,1,1,1,0
