author_first,unit_city_code,author_unit_first1,ym1,class_num1,mag_classn1,coauthor1,author_unit_first2,ym2,class_num2,mag_classn2,coauthor2
何雄浪,5101.0,西南民族大学;,2015-04-01;,X;F;,经济与管理;,,西南财经大学;,2013-04-01;,F;F;,经济与管理;, 赵峰;
刘斌,1100.0,中国人民银行;,2003-09-01;2002-07-01;2001-07-01;2001-10-01;,F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;, 张怀清;,对外经济贸易大学;,2016-03-01;2016-09-01;,F;F;F;,经济与管理;经济与管理;, 魏倩; 吕越; 祝坤福; 王乃嘉;
刘青,1100.0,中国社会科学院;,2012-07-01;,F;,经济与管理;,,对外经济贸易大学;,2017-01-01;,F;,经济与管理;, 陶攀; 洪俊杰;
刘飞,6101.0,西安交通大学;,2011-08-01;,F;,经济与管理;,,西安邮电大学;,2015-04-01;2014-06-01;,F;F;F;,经济与管理;经济与管理;,
张伟,5201.0,贵州大学;,2011-10-01;,F;F;,经济与管理;, 吴文元;,贵州财经大学;,2013-10-01;,F;X;,经济与管理;, 朱启贵; 李汉文;
张兵,3201.0,南京农业大学;,2015-01-01;,F;,经济与管理;, 李丹; 孟德峰;,南京大学;,2010-11-01;2008-09-01;2003-01-01;2017-10-01;,F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;, 范致镇; 李心丹; 封思贤; 李心丹; 汪慧建; 李晓明; 陈晓莹;
张勇,1100.0,中国人民大学;,2009-05-01;,F;F;F;,经济与管理;, 王玺; 古明明;,北京大学;,2014-10-01;,F;F;,经济与管理;, 李政军; 龚六堂;
张卫国,3701.0,山东大学;,2008-02-01;,H;,经济与管理;,,山东社会科学院;,2011-08-01;,F;D;,经济与管理;, 任燕燕; 花小安;
张卫国,5000.0,西南大学;,2015-08-01;,F;F;F;,经济与管理;, 罗超平; 李海明;,重庆大学;,2011-07-01;,F;F;F;,经济与管理;, 梁小翠; 陆静;
张强,1100.0,中国人民大学;,2011-04-01;,F;F;,经济与管理;, 卢荻;,中国人民银行;,2002-11-01;,F;,经济与管理;, 刘西顺; 王伟;
张海洋,3301.0,浙江大学;,2011-01-01;2010-04-01;,F;F;F;F;,经济与管理;经济与管理;, 史晋川;,浙江理工大学;,2017-09-01;,F;F;,经济与管理;, 金则杨;
李君华,4201.0,华中科技大学;,2009-04-01;,F;F;,经济与管理;,,湖北经济学院;,2016-10-01;,F;,经济与管理;, 欧阳峣;
李宏瑾,1100.0,中国人民银行;,2014-10-01;2012-04-01;,F;F;F;F;F;,经济与管理;经济与管理;,,中国金融四十人论坛;,2016-01-01;,F;,经济与管理;, 苏乃芳; 洪浩;
李尚骜,4201.0,华中科技大学;,2010-05-01;,F;,经济与管理;,,武汉大学;,2011-06-01;,F;,经济与管理;, 陈继勇; 李卓;
李建军,1100.0,中央财经大学;,2004-01-01;2004-05-01;2004-09-01;,F;F;F;,经济与管理;经济与管理;经济与管理;,,人民大学;,2001-11-01;,F;,经济与管理;, 田光宁;
李斌,1100.0,中国人民银行;,2001-07-01;,F;,经济与管理;,,北京大学;,2004-06-01;,F;,经济与管理;,
李楠,1100.0,中国人民大学;,2014-11-01;,F;F;,经济与管理;, 黄旭; 谢尔曼;,中国社会科学院;,2013-01-01;,F;,经济与管理;, 王家强;
李楠,1100.0,中国人民大学;,2014-11-01;,F;F;,经济与管理;, 黄旭; 谢尔曼;,中国科学院;,2013-10-01;,F;,经济与管理;, 陈暮紫; 陈敏;
李涛,1100.0,中国人民大学;,2008-01-01;2007-08-01;,D;F;F;,经济与管理;经济与管理;, 黄纯纯; 何兴强; 周开国;,中央财经大学;,2017-03-01;2014-03-01;2015-06-01;2011-09-01;2010-07-01;2009-02-01;,C;F;F;B;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;, 朱俊兵; 伏霖; 陈斌开; 张文韬; 史宇鹏; 陈斌开; 王志芳; 王海港; 谭松涛; 郭杰;
杨俊,1100.0,中国人民大学;,2008-06-01;,F;F;,经济与管理;, 龚六堂;,北京大学;,2006-03-01;,F;,经济与管理;, 龚六堂; 王亚平;
杨柳,1100.0,中国人民银行;,2001-02-01;,F;,经济与管理;,,中国政法大学;,2015-08-01;,F;,经济与管理;,
沈国兵,3100.0,上海财经大学;,2005-06-01;,F;,经济与管理;,,复旦大学;,2015-04-01;2015-06-01;2010-06-01;2004-12-01;,F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;, 张鑫; 姚白羽;
王小龙,1100.0,中国人民大学;,2015-11-01;2011-08-01;,F;F;D;F;,经济与管理;经济与管理;, 方金金; 兰永生;,北京大学;,2004-04-01;,F;,经济与管理;,
王海港,1100.0,中央财经大学;,2009-09-01;,F;F;,经济与管理;, 黄少安; 李琴; 罗凤金;,北京大学;,2005-01-01;,F;,经济与管理;,
王鹏,1100.0,中国人民银行;,2008-02-01;,F;,经济与管理;,,北京交通大学;,2012-12-01;,F;,经济与管理;,
范子英,3100.0,上海财经大学;,2015-05-01;2017-02-01;2016-01-01;2016-07-01;,F;F;F;D;F;F;F;D;,经济与管理;经济与管理;经济与管理;经济与管理;, 刘甲炎; 彭飞; 彭飞; 刘冲; 田彬彬;,复旦大学;,2010-03-01;2010-04-01;2008-10-01;,F;F;K;K;,经济与管理;经济与管理;经济与管理;, 张军; 孟令杰; 石慧;
蒙英华,3100.0,上海对外经贸大学;,2015-10-01;,F;,经济与管理;, 蔡宏波; 黄建忠;,复旦大学;,2009-12-01;,F;,经济与管理;, 蔡宏波;
许伟,1100.0,北京大学;,2009-04-01;,F;F;F;,经济与管理;, 陈斌开;,国务院;,2016-05-01;,F;,经济与管理;, 陈斌开;
邵帅,3100.0,上海财经大学;,2016-09-01;2013-02-01;2011-12-01;2017-03-01;,X;X;F;F;F;F;F;F;F;X;,经济与管理;经济与管理;经济与管理;经济与管理;, 李欣; 曹建华; 杨莉莉; 杨莉莉; 黄涛; 杨莉莉; 张曦; 赵兴荣;,复旦大学;,2015-05-01;,F;,经济与管理;, 吕长江;
郭凯明,4401.0,中山大学;,2017-03-01;2017-04-01;,F;F;,经济与管理;经济与管理;, 杭静; 颜色; 颜色;,暨南大学;,2016-06-01;2015-07-01;2016-04-01;,F;C;F;F;F;C;,经济与管理;经济与管理;经济与管理;, 颜色; 颜色; 余靖雯; 龚六堂;
郭峰,3100.0,上海新金融研究院;,2015-04-01;,F;,经济与管理;,,上海财经大学;,2017-07-01;2017-07-01;,D;X;G;,经济与管理;经济与管理;, 石庆玲; 李欣;
高梦滔,1100.0,北京大学;,2004-07-01;,C;,经济与管理;, 姚洋;,北京师范大学;,2005-12-01;,F;,经济与管理;, 姚洋;
黄勋敬,4401.0,中山大学;,2009-05-01;,F;F;,经济与管理;,,华南师范大学;,2007-01-01;,F;,经济与管理;, 胡晔;
黄志刚,1100.0,中央财经大学;,2017-05-01;2011-03-01;2012-04-01;2010-07-01;,F;F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;, 许伟;,北京大学;,2009-06-01;,F;F;,经济与管理;,
